gene id	miRNA
8863	hsa-miR-376a-5p
8863	hsa-miR-27a-3p
8863	hsa-miR-137
473	hsa-miR-23b-3p
80045	hsa-miR-520f-3p
80045	hsa-let-7d-5p
80045	hsa-miR-30b-5p
80045	hsa-miR-374a-5p
9563	hsa-let-7d-5p
23095	hsa-miR-199a-5p
23095	hsa-miR-30b-5p
23095	hsa-miR-137
54897	hsa-miR-374a-5p
54897	hsa-miR-27a-3p
5394	hsa-miR-10a-5p
5394	hsa-miR-10b-5p
148345	hsa-miR-497-5p
57085	hsa-miR-155-5p
57085	hsa-miR-23b-3p
55187	hsa-miR-376a-5p
55187	hsa-miR-27a-3p
9927	hsa-miR-27b-3p
9927	hsa-miR-520f-3p
9927	hsa-miR-23b-3p
11240	hsa-miR-30e-3p
11240	hsa-miR-302a-3p
11240	hsa-miR-372-3p
11240	hsa-miR-520f-3p
11240	hsa-miR-520c-3p
11240	hsa-miR-139-5p
4237	hsa-miR-374a-5p
55672	hsa-miR-374a-5p
29943	hsa-miR-138-5p
29943	hsa-miR-139-5p
55160	hsa-miR-374a-5p
81569	hsa-miR-222-3p
81569	hsa-miR-1291
81569	hsa-miR-504-5p
81569	hsa-miR-374a-5p
81569	hsa-miR-27a-3p
84966	hsa-miR-193b-3p
84966	hsa-miR-139-5p
23352	hsa-miR-374a-5p
255104	hsa-miR-27a-3p
50809	hsa-miR-302a-3p
50809	hsa-miR-520f-3p
1889	hsa-miR-520f-3p
1889	hsa-miR-199a-5p
249	hsa-miR-30e-3p
249	hsa-miR-137
249	hsa-miR-139-5p
998	hsa-miR-374a-5p
998	hsa-miR-137
9923	hsa-miR-374a-5p
6920	hsa-miR-302a-3p
6920	hsa-miR-520f-3p
6920	hsa-miR-374a-5p
1870	hsa-miR-155-5p
1870	hsa-miR-193b-3p
1870	hsa-miR-520f-3p
1870	hsa-miR-21-5p
1870	hsa-miR-137
57185	hsa-miR-199a-5p
57185	hsa-miR-30b-5p
57185	hsa-miR-27a-3p
57134	hsa-miR-155-5p
57134	hsa-miR-302a-3p
57134	hsa-let-7d-5p
57134	hsa-miR-137
6006	hsa-miR-374a-5p
55219	hsa-miR-374a-5p
6195	hsa-miR-374a-5p
79727	hsa-miR-27a-3p
84065	hsa-miR-23b-3p
27245	hsa-miR-374a-5p
27245	hsa-miR-27a-3p
1104	hsa-miR-374a-5p
6429	hsa-miR-27a-3p
8073	hsa-miR-129-5p
127544	hsa-miR-23b-3p
81493	hsa-miR-302a-3p
81493	hsa-miR-372-3p
81493	hsa-miR-520f-3p
81493	hsa-miR-520c-3p
81493	hsa-miR-23b-3p
653121	hsa-miR-374a-5p
23633	hsa-miR-199a-5p
7579	hsa-miR-520f-3p
7579	hsa-miR-376a-5p
1912	hsa-miR-139-5p
79932	hsa-miR-199a-5p
2899	hsa-miR-374a-5p
79693	hsa-miR-376a-5p
3633	hsa-miR-193b-3p
3633	hsa-let-7d-5p
353500	hsa-miR-137
353500	hsa-miR-497-5p
656	hsa-miR-137
9132	hsa-miR-137
284716	hsa-miR-17-3p
284716	hsa-miR-27a-3p
59269	hsa-miR-374a-5p
59269	hsa-miR-139-5p
149465	hsa-miR-139-5p
7075	hsa-miR-27a-3p
6487	hsa-miR-137
6487	hsa-miR-23b-3p
11004	hsa-miR-21-5p
11004	hsa-miR-137
10420	hsa-miR-374a-5p
57643	hsa-miR-374a-5p
8569	hsa-miR-23b-3p
8503	hsa-miR-374a-5p
8503	hsa-miR-497-5p
8503	hsa-miR-23b-3p
51727	hsa-miR-302a-3p
51727	hsa-miR-372-3p
51727	hsa-miR-520c-3p
51727	hsa-miR-199a-5p
51727	hsa-miR-23b-3p
199974	hsa-miR-374a-5p
1996	hsa-miR-27a-3p
