gene id	miRNA 
56946	hsa-miR-34a-5p
153222	hsa-miR-34a-5p
8613	hsa-miR-34a-5p
4297	hsa-miR-34a-5p
64430	hsa-miR-34a-5p
55706	hsa-miR-34a-5p
25843	hsa-miR-34a-5p
159371	hsa-miR-34a-5p
91748	hsa-miR-34a-5p
116224	hsa-miR-34a-5p
27161	hsa-miR-34a-5p
5612	hsa-miR-34a-5p
51430	hsa-miR-34a-5p
4610	hsa-miR-34a-5p
55233	hsa-miR-34a-5p
55425	hsa-miR-34a-5p
8085	hsa-miR-34a-5p
51527	hsa-miR-30e-5p
64645	hsa-miR-30e-5p
154743	hsa-miR-30e-5p
56005	hsa-miR-30e-5p
26128	hsa-miR-30e-5p
80723	hsa-miR-30e-5p
51714	hsa-miR-30e-5p
168455	hsa-miR-30e-5p
27161	hsa-miR-30e-3p
51527	hsa-miR-30c-5p
64645	hsa-miR-30c-5p
805	hsa-miR-30c-5p
56005	hsa-miR-30c-5p
26128	hsa-miR-30c-5p
27161	hsa-miR-30c-5p
57724	hsa-miR-30c-5p
26258	hsa-miR-30c-5p
6734	hsa-miR-30c-5p
168455	hsa-miR-30c-5p
51527	hsa-miR-101-3p
55714	hsa-miR-101-3p
58489	hsa-miR-101-3p
805	hsa-miR-101-3p
23255	hsa-miR-101-3p
55706	hsa-miR-101-3p
54920	hsa-miR-101-3p
11068	hsa-miR-101-3p
23271	hsa-miR-101-3p
55571	hsa-miR-101-3p
51029	hsa-miR-101-3p
647087	hsa-miR-101-3p
55257	hsa-miR-101-3p
220042	hsa-miR-101-3p
9780	hsa-miR-101-3p
51714	hsa-miR-101-3p
154743	hsa-miR-186-5p
155370	hsa-miR-186-5p
58508	hsa-miR-186-5p
55904	hsa-miR-186-5p
49854	hsa-miR-186-5p
168455	hsa-miR-186-5p
57213	hsa-miR-186-5p
192670	hsa-miR-137
9414	hsa-miR-137
10472	hsa-miR-137
79960	hsa-miR-137
9766	hsa-miR-197-3p
10472	hsa-miR-197-3p
23731	hsa-miR-197-3p
55026	hsa-miR-320b
153222	hsa-miR-320b
285203	hsa-miR-320b
54462	hsa-miR-320b
6307	hsa-miR-320b
9766	hsa-miR-320b
255919	hsa-miR-92b-3p
8613	hsa-miR-92b-3p
51111	hsa-miR-92b-3p
54462	hsa-miR-92b-3p
2258	hsa-miR-92b-3p
153222	hsa-miR-9-5p
285203	hsa-miR-9-5p
23731	hsa-miR-9-5p
23277	hsa-miR-214-3p
55706	hsa-miR-214-3p
80209	hsa-miR-214-3p
51495	hsa-miR-214-3p
5892	hsa-miR-214-3p
51526	hsa-miR-214-3p
10175	hsa-miR-214-3p
8085	hsa-miR-214-3p
125144	hsa-miR-199a-5p
58489	hsa-miR-199a-5p
94104	hsa-miR-199a-5p
387893	hsa-miR-199a-5p
29956	hsa-miR-199a-5p
84451	hsa-miR-199a-3p
138716	hsa-miR-199a-3p
91748	hsa-miR-199a-3p
8085	hsa-miR-199a-3p
51714	hsa-miR-488-3p
51527	hsa-miR-181b-5p
9813	hsa-miR-181b-5p
163859	hsa-miR-181b-5p
153222	hsa-miR-181b-5p
9991	hsa-miR-181b-5p
23277	hsa-miR-181b-5p
57613	hsa-miR-181b-5p
8613	hsa-miR-181b-5p
57542	hsa-miR-181b-5p
9847	hsa-miR-181b-5p
339290	hsa-miR-181b-5p
91748	hsa-miR-181b-5p
80723	hsa-miR-181b-5p
55196	hsa-miR-181b-5p
26258	hsa-miR-181b-5p
58508	hsa-miR-181b-5p
49854	hsa-miR-181b-5p
51527	hsa-miR-181a-5p
9813	hsa-miR-181a-5p
9991	hsa-miR-181a-5p
23277	hsa-miR-181a-5p
57613	hsa-miR-181a-5p
8613	hsa-miR-181a-5p
57542	hsa-miR-181a-5p
9847	hsa-miR-181a-5p
58508	hsa-miR-181a-5p
64645	hsa-miR-135b-5p
192670	hsa-miR-135b-5p
23266	hsa-miR-135b-5p
201627	hsa-miR-135b-5p
55610	hsa-miR-135b-5p
26523	hsa-miR-29c-3p
154743	hsa-miR-29c-3p
57542	hsa-miR-29c-3p
805	hsa-miR-29c-3p
84787	hsa-miR-29c-3p
151648	hsa-miR-29c-3p
387893	hsa-miR-29c-3p
90268	hsa-miR-29c-3p
51495	hsa-miR-29c-3p
23271	hsa-miR-29c-3p
63894	hsa-miR-29c-3p
9315	hsa-miR-29c-3p
647087	hsa-miR-29c-3p
8531	hsa-miR-29c-3p
54994	hsa-miR-29c-3p
126731	hsa-miR-29c-3p
57589	hsa-miR-29b-3p
92370	hsa-miR-29b-3p
56946	hsa-miR-29b-3p
26523	hsa-miR-29b-3p
154743	hsa-miR-29b-3p
57542	hsa-miR-29b-3p
8503	hsa-miR-29b-3p
54838	hsa-miR-29b-3p
80209	hsa-miR-29b-3p
51111	hsa-miR-29b-3p
57223	hsa-miR-29b-3p
91748	hsa-miR-29b-3p
201627	hsa-miR-29b-3p
23271	hsa-miR-29b-3p
139285	hsa-miR-29b-3p
63894	hsa-miR-29b-3p
9315	hsa-miR-29b-3p
647087	hsa-miR-29b-3p
253143	hsa-miR-29b-3p
222166	hsa-miR-29b-3p
4297	hsa-miR-205-5p
9766	hsa-miR-205-5p
10472	hsa-miR-205-5p
58508	hsa-miR-205-5p
57542	hsa-miR-215-5p
10536	hsa-miR-215-5p
154743	hsa-miR-194-5p
805	hsa-miR-194-5p
9798	hsa-miR-194-5p
91748	hsa-miR-194-5p
23271	hsa-miR-194-5p
9315	hsa-miR-511-5p
153222	hsa-miR-107
8613	hsa-miR-107
25843	hsa-miR-107
55069	hsa-miR-107
51765	hsa-miR-107
23271	hsa-miR-107
9766	hsa-miR-107
126308	hsa-miR-107
92370	hsa-miR-146b-5p
100132707	hsa-miR-146b-5p
7994	hsa-miR-146b-5p
8085	hsa-miR-146b-5p
92597	hsa-miR-146b-5p
51776	hsa-miR-210-3p
91748	hsa-miR-210-3p
56204	hsa-miR-210-3p
201627	hsa-miR-210-3p
55719	hsa-miR-210-3p
27292	hsa-miR-210-3p
83606	hsa-miR-129-5p
156	hsa-miR-129-5p
51527	hsa-miR-130a-3p
9813	hsa-miR-130a-3p
51776	hsa-miR-130a-3p
58489	hsa-miR-130a-3p
8503	hsa-miR-130a-3p
60673	hsa-miR-130a-3p
192670	hsa-miR-130a-3p
8634	hsa-miR-130a-3p
6307	hsa-miR-130a-3p
9766	hsa-miR-130a-3p
10472	hsa-miR-130a-3p
58508	hsa-miR-130a-3p
55914	hsa-miR-130a-3p
51652	hsa-miR-130a-3p
9798	hsa-miR-192-5p
55714	hsa-miR-139-5p
5315	hsa-miR-139-5p
387893	hsa-miR-139-5p
55731	hsa-miR-139-5p
55791	hsa-miR-139-5p
6307	hsa-miR-139-5p
55233	hsa-miR-139-5p
100133991	hsa-miR-139-5p
26148	hsa-miR-139-5p
10175	hsa-miR-139-5p
55257	hsa-miR-139-5p
5315	hsa-miR-326
7994	hsa-miR-708-5p
79018	hsa-miR-708-5p
10472	hsa-miR-34b-5p
55706	hsa-miR-34c-5p
27161	hsa-miR-34c-5p
