gene id	miRNA
900	hsa-let-7a-5p
23405	hsa-let-7a-5p
27244	hsa-let-7a-5p
25836	hsa-let-7a-5p
57117	hsa-let-7a-5p
96459	hsa-let-7a-5p
27034	hsa-let-7a-5p
6433	hsa-let-7a-5p
9133	hsa-let-7a-5p
26523	hsa-let-7a-5p
339324	hsa-let-7a-5p
84447	hsa-let-7a-5p
54880	hsa-let-7a-5p
3376	hsa-let-7a-5p
11273	hsa-let-7a-5p
9150	hsa-let-7a-5p
9422	hsa-let-7a-5p
131544	hsa-let-7a-5p
131965	hsa-let-7a-5p
27143	hsa-let-7a-5p
23231	hsa-let-7a-5p
8295	hsa-let-7a-5p
9659	hsa-let-7a-5p
1825	hsa-let-7a-5p
145741	hsa-let-7a-5p
154743	hsa-let-7a-5p
23633	hsa-let-7a-5p
84987	hsa-let-7a-5p
23543	hsa-let-7a-5p
57448	hsa-let-7a-5p
5351	hsa-let-7a-5p
170777	hsa-let-7a-5p
10099	hsa-let-7a-5p
29128	hsa-let-7a-5p
22818	hsa-let-7a-5p
3159	hsa-let-7a-5p
85451	hsa-let-7a-5p
9818	hsa-let-7a-5p
1660	hsa-let-7a-5p
51116	hsa-let-7a-5p
4884	hsa-let-7a-5p
2975	hsa-let-7a-5p
55343	hsa-let-7a-5p
9887	hsa-let-7a-5p
5872	hsa-let-7a-5p
4649	hsa-let-7a-5p
10113	hsa-let-7a-5p
84901	hsa-let-7a-5p
55471	hsa-let-7a-5p
7204	hsa-let-7a-5p
7555	hsa-let-7a-5p
51611	hsa-let-7a-5p
80895	hsa-let-7a-5p
501	hsa-let-7a-5p
55236	hsa-let-7a-5p
8091	hsa-let-7a-5p
9444	hsa-let-7a-5p
23118	hsa-let-7a-5p
1457	hsa-let-7a-5p
8729	hsa-let-7a-5p
10915	hsa-let-7a-5p
120227	hsa-let-7a-5p
6229	hsa-let-7a-5p
10291	hsa-let-7a-5p
11180	hsa-let-7a-5p
57534	hsa-let-7a-5p
6711	hsa-let-7a-5p
54852	hsa-let-7a-5p
60	hsa-let-7a-5p
2186	hsa-let-7a-5p
10973	hsa-let-7a-5p
6877	hsa-let-7a-5p
490	hsa-let-7a-5p
6165	hsa-let-7a-5p
90806	hsa-let-7a-5p
27161	hsa-let-7a-5p
23135	hsa-let-7a-5p
8888	hsa-let-7a-5p
90480	hsa-let-7a-5p
58533	hsa-let-7a-5p
2149	hsa-let-7a-5p
271	hsa-let-7a-5p
3214	hsa-let-7a-5p
2146	hsa-let-7a-5p
4214	hsa-let-7a-5p
57561	hsa-let-7a-5p
9277	hsa-let-7a-5p
4522	hsa-let-7a-5p
23367	hsa-let-7a-5p
9453	hsa-let-7a-5p
4833	hsa-let-7a-5p
115353	hsa-let-7a-5p
79989	hsa-let-7a-5p
994	hsa-let-7a-5p
79659	hsa-let-7a-5p
9031	hsa-let-7a-5p
55632	hsa-let-7a-5p
10018	hsa-let-7a-5p
125950	hsa-let-7a-5p
51075	hsa-let-7a-5p
5195	hsa-let-7a-5p
22888	hsa-let-7a-5p
63935	hsa-let-7a-5p
26100	hsa-let-7a-5p
90957	hsa-let-7a-5p
3203	hsa-let-7a-5p
23556	hsa-let-7a-5p
57509	hsa-let-7a-5p
6643	hsa-let-7a-5p
158	hsa-let-7a-5p
658	hsa-let-7a-5p
5600	hsa-let-7a-5p
5903	hsa-let-7a-5p
56899	hsa-let-7a-5p
64766	hsa-let-7a-5p
85019	hsa-let-7a-5p
23066	hsa-let-7a-5p
284069	hsa-let-7a-5p
3298	hsa-let-7a-5p
80142	hsa-let-7a-5p
3221	hsa-let-7a-5p
9097	hsa-let-7a-5p
283358	hsa-let-7a-5p
55585	hsa-let-7a-5p
113829	hsa-let-7a-5p
3151	hsa-let-7a-5p
55108	hsa-let-7a-5p
284323	hsa-let-7a-5p
23770	hsa-let-7a-5p
23389	hsa-let-7a-5p
27097	hsa-let-7a-5p
84502	hsa-let-7a-5p
11164	hsa-let-7a-5p
56181	hsa-let-7a-5p
10014	hsa-let-7a-5p
488	hsa-let-7a-5p
4048	hsa-let-7a-5p
8560	hsa-let-7a-5p
81570	hsa-let-7a-5p
6427	hsa-let-7a-5p
5520	hsa-let-7a-5p
11006	hsa-let-7a-5p
10620	hsa-let-7a-5p
5295	hsa-let-7a-5p
11064	hsa-let-7a-5p
23589	hsa-let-7a-5p
56913	hsa-let-7a-5p
6207	hsa-let-7a-5p
9445	hsa-let-7a-5p
4864	hsa-let-7a-5p
6191	hsa-let-7a-5p
4536	hsa-let-7a-5p
155061	hsa-let-7a-5p
259266	hsa-let-7a-5p
55095	hsa-let-7a-5p
84146	hsa-let-7a-5p
4535	hsa-let-7a-5p
5885	hsa-let-7a-5p
128077	hsa-let-7a-5p
94104	hsa-let-7a-5p
10075	hsa-let-7a-5p
6897	hsa-let-7a-5p
57380	hsa-let-7a-5p
8663	hsa-let-7a-5p
4720	hsa-let-7a-5p
2081	hsa-let-7a-5p
1431	hsa-let-7a-5p
80854	hsa-let-7a-5p
10957	hsa-let-7a-5p
1604	hsa-let-7a-5p
84231	hsa-let-7a-5p
85021	hsa-let-7a-5p
65244	hsa-let-7a-5p
6631	hsa-let-7a-5p
11163	hsa-let-7a-5p
11100	hsa-let-7a-5p
84811	hsa-let-7a-5p
9686	hsa-let-7a-5p
665	hsa-let-7a-5p
2193	hsa-let-7a-5p
8886	hsa-let-7a-5p
221150	hsa-let-7a-5p
51616	hsa-let-7a-5p
10180	hsa-let-7a-5p
9203	hsa-let-7a-5p
1073	hsa-let-7a-5p
6667	hsa-let-7a-5p
10527	hsa-let-7a-5p
26057	hsa-let-7a-5p
26003	hsa-let-7a-5p
4540	hsa-let-7a-5p
9898	hsa-let-7a-5p
10825	hsa-let-7a-5p
3921	hsa-let-7a-5p
7410	hsa-let-7a-5p
3005	hsa-let-7a-5p
23607	hsa-let-7a-5p
817	hsa-let-7a-5p
1021	hsa-let-7a-5p
314	hsa-let-7a-5p
6204	hsa-let-7a-5p
6210	hsa-let-7a-5p
